업종,사업장수,월회전율중앙값,p25,p75,p90
떡류 제조업,66,0.02177,0.0084,0.04386,0.06122
상품 종합 도매업,724,0.02174,0.01087,0.03906,0.06452
플라스틱 물질 및 합성고무 도매업,21,0.02174,0.005,0.02632,0.04688
재생용 재료 수집 및 판매업,21,0.02174,0.01064,0.04317,0.0625
사진기  영사기 및 관련 장비 제조업,12,0.02162,0.0,0.05385,0.05738
판지 상자 및 용기 제조업,8,0.02158,0.01515,0.05,0.07292
금속 문  창  셔터 및 관련제품 제조업,304,0.02139,0.0119,0.04167,0.07812
건축 설계 및 관련 서비스업,150,0.02133,0.0119,0.03226,0.05
스크린 인쇄업,152,0.02117,0.00987,0.03846,0.0625
측량업,40,0.02117,0.01515,0.03659,0.05263
그 외 기타 분류 안된 섬유제품 제조업,35,0.02113,0.00877,0.0339,0.05705
기타 정보 기술 및 컴퓨터 운영 관련 서비스업,75,0.02113,0.01111,0.03333,0.05405
그 외 기타 의료용 기기 제조업,44,0.02112,0.00943,0.04091,0.09722
그 외 기타 식료품 제조업,28,0.02093,0.00725,0.03571,0.05556
응용 소프트웨어 개발 및 공급업,2011,0.02083,0.0102,0.03804,0.06481
BIZ_NO미존재사업장,7239,0.02083,0.0094,0.03846,0.06051
기타 기술 시험  검사 및 분석업,141,0.02083,0.0113,0.0354,0.05556
의료 기기 도매업,99,0.02083,0.00556,0.03409,0.06
자문 감독 지도료 고문료 교정료,9,0.02083,0.01471,0.02963,0.0546
장류 제조업,18,0.0208,0.01471,0.03731,0.05405
화학섬유직물 직조업,50,0.02073,0.00318,0.03947,0.0641
악기 도매업,8,0.02068,0.01667,0.02439,0.07937
산업용 로봇 제조업,167,0.02055,0.0101,0.03077,0.05
그 외 기타 기계 및 장비 도매업,47,0.02055,0.01271,0.03333,0.06061
의료용품 및 기타 의약 관련제품 제조업,73,0.02049,0.01173,0.03472,0.05682
자동차 신품 판매업,86,0.02047,0.01471,0.03691,0.06667
자료 처리업,26,0.02028,0.01603,0.05,0.1129
산업 처리공정 제어장비 제조업,85,0.02016,0.00926,0.03488,0.07576
백화점,18,0.02015,0.0125,0.03293,0.08542
육류 도축업(가금류 제외),33,0.02,0.01471,0.03571,0.06757
소주 제조업,9,0.02,0.00913,0.02083,0.05556
배전반 및 전기 자동제어반 제조업,288,0.01992,0.00962,0.03571,0.05882
편조의복 제조업,14,0.01988,0.0122,0.044,0.05093
기타 인쇄물 출판업,36,0.0198,0.0116,0.03257,0.05072
통관 대리 및 관련서비스업 / 화물 운송 중개  대리,168,0.01974,0.00926,0.04412,0.07143
가전제품 소매업,18,0.01973,0.00621,0.04054,0.04545
그 외 기타 상품 전문 도매업,53,0.01961,0.00581,0.03814,0.05208
그 외 기타 분류 안된 금속 가공제품 제조업,17,0.01961,0.0,0.04167,0.05556
기타 엔지니어링 서비스업,694,0.01954,0.00943,0.03261,0.05556
유선 온라인 게임 소프트웨어 개발 및 공급업,22,0.01946,0.01124,0.02885,0.04688
그 외 기타 건축자재 도매업,40,0.01929,0.0051,0.04839,0.06667
커피 가공업,46,0.01926,0.01042,0.03409,0.08974
컴퓨터 시스템 통합 자문 및 구축 서비스업,201,0.01923,0.0102,0.04054,0.06757
주방용 전기 기기 제조업,61,0.01923,0.01111,0.02941,0.05195
일반 창고업,81,0.01923,0.0102,0.03409,0.06061
일반 철물 제조업,30,0.01914,0.0,0.03226,0.06667
공인회계사업,117,0.01899,0.0125,0.03086,0.05882
통신ㆍ방송장비 및 부품 도매업,127,0.01899,0.01136,0.03846,0.0625
신문용지 제조업,33,0.01894,0.0082,0.03333,0.05263
전자상거래 소매 중개업,16,0.01888,0.01351,0.03333,0.04167
기타 반도체 소자 제조업,1276,0.01887,0.00962,0.03497,0.06098
전기식 진단 및 요법 기기 제조업,157,0.01887,0.01,0.02941,0.04545
그 외 기타 플라스틱 제품 제조업,81,0.01887,0.00833,0.03947,0.07576
액상 시유 및 기타 낙농제품 제조업,44,0.01884,0.01031,0.04155,0.06422
기타 통신 판매업,20,0.01878,0.00738,0.05469,0.06349
구두류 제조업,33,0.01877,0.01136,0.03333,0.06977
일반 저울 제조업,10,0.01868,0.0122,0.05921,0.06061
그 외 기타 특수 목적용 기계 제조업,14,0.01847,0.01052,0.07812,0.46835
볼링장 운영업,10,0.0184,0.01131,0.03,0.10938
1차 금속제품 도매업,51,0.01829,0.01163,0.04167,0.07
분말 야금제품 제조업,67,0.01829,0.00418,0.04286,0.06452
그 외 기타 개인 및 가정용품 임대업,13,0.01829,0.00839,0.05469,0.0875
안경 및 안경렌즈 제조업,65,0.01825,0.01111,0.03378,0.04412
시외버스 운송업,54,0.01818,0.00926,0.02597,0.03947
제조 / 코코아제품및설탕과자,11,0.01818,0.00833,0.0678,0.07143
