자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,농업회사법인 플랜티팜 주식회사,채소류  서류 및 향신작물류 도매업,경기도,법인,52,17082160,0,5
2026-07,주식회사동안기획,경영 컨설팅업,인천광역시,법인,95,25340680,0,3
2026-07,광주지방기상청,BIZ_NO미존재사업장,전남광주통합특별시,법인,31,7616240,6,0
2026-07,흥생농장,양계업,경상북도,개인,33,9077640,1,0
2026-07,(주)새한엘리베이터,기타 물품 취급장비 제조업,서울특별시,법인,37,14786280,0,0
2026-07,(주)성지모듈,그 외 자동차용 신품 부품 제조업,경기도,법인,71,20311500,2,0
2026-07,소나투스소프트웨어코리아유한회사,응용 소프트웨어 개발 및 공급업,경기도,법인,37,23154740,2,1
2026-07,(주)큐앤피플,응용 소프트웨어 개발 및 공급업,서울특별시,법인,214,60364760,7,5
2026-07,(주)삼천리이엔지,철물  금속 파스너 및 수공구 도매업,서울특별시,법인,1030,292300940,105,82
2026-07,파스토조(주),가죽의복 제조업,서울특별시,법인,53,19532180,0,0
2026-07,주식회사  이엔미디어,응용 소프트웨어 개발 및 공급업,서울특별시,법인,31,8439840,5,4
2026-07,동원재활원(사복),해당없음,울산광역시,법인,38,16155500,1,1
2026-07,주식회사 와탭랩스,응용 소프트웨어 개발 및 공급업,서울특별시,법인,92,47722120,3,3
2026-07,씨에스나무병원,요양병원,전남광주통합특별시,개인,40,12735120,0,1
2026-07,(유)스타에이앤씨,응용 소프트웨어 개발 및 공급업,경기도,법인,33,6368040,3,7
2026-07,에스토라해운주식회사,BIZ_NO미존재사업장,부산광역시,법인,39,16939100,1,7
2026-07,문경축산업협동조합,국내은행,경상북도,법인,88,43365700,1,1
2026-07,(주)교원스타트원,데이터베이스 및 온라인 정보 제공업,서울특별시,법인,238,59362660,4,8
2026-07,밴스피부과의원,일반의원,서울특별시,개인,60,17774500,4,12
2026-07,이지산업개발주식회사,콘크리트 및 철근 공사업,울산광역시,법인,32,10908340,12,13
2026-07,트레스칼코리아 주식회사/트레스칼코리아 표준교정기술원,번역 및 통역 서비스업,경기도,법인,97,38746120,1,0
2026-07,흥일기업(주),금속 절삭기계 제조업,경상남도,법인,179,64004660,0,1
2026-07,의료법인 해올의료재단 힐마루병원,요양병원,부산광역시,법인,67,20005680,5,0
2026-07,(주)국제텍,직물  편조 원단 및 의복류 염색 가공업,대구광역시,법인,44,15882980,0,3
2026-07,주식회사올릿리테일,전자상거래 소매업,서울특별시,법인,69,21240780,7,7
2026-07,주식회사 퍼스트인,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,대구광역시,법인,319,74867780,39,38
2026-07,서울아산병원,요양병원,서울특별시,법인,9244,5144747740,117,61
2026-07,동천,모자 제조업,서울특별시,법인,53,13034600,0,0
2026-07,경북안동지역자활센터,곡물 및 유지작물 도매업,경상북도,법인,79,13738280,1,4
2026-07,(주)트리니티항공,항공 여객 운송업,대구광역시,법인,3096,1293011380,159,36
2026-07,한일산업(주),레미콘 제조업,서울특별시,법인,195,80531660,1,2
2026-07,(주)베러스쿱크리머리,낙농품 및 동ㆍ식물성 유지 도매업,서울특별시,법인,220,56057520,56,27
2026-07,(주)플라벡스,플라스틱 합성피혁 제조업,충청북도,법인,31,11220880,0,0
2026-07,주식회사 명일,냉장 및 냉동 창고업,경기도,법인,1121,500495000,24,14
2026-07,거성소방주식회사-한화오션,시설물 유지관리 공사업,경상남도,법인,97,31601640,3,2
2026-07,주식회사 씨앤비플러스,BIZ_NO미존재사업장,서울특별시,법인,30,10512940,1,0
2026-07,비에이티 주식회사,컴퓨터 프로그래밍 서비스업,서울특별시,법인,223,71595700,6,11
2026-07,한국수자원공사,태양력 발전업,대전광역시,법인,7457,3581159580,260,207
2026-07,디비씨앤에스자동차손해사정(주),BIZ_NO미존재사업장,서울특별시,법인,745,276284900,2,5
2026-07,주식회사펫포레스트,애완 동물 장묘 및 보호 서비스업,경기도,법인,41,11253060,5,3
2026-07,(주)대한과학,의료 기기 도매업,강원특별자치도,법인,106,40365740,0,0
2026-07,덕원중학교,BIZ_NO미존재사업장,서울특별시,법인,30,11531780,0,0
2026-07,（주）안국루브텍,해당없음,서울특별시,법인,31,13926480,0,0
2026-07,주식회사 포에이스,그 외 기타 1차 철강 제조업,전남광주통합특별시,법인,146,77731200,0,8
2026-07,에스케이하이닉스새마을금고,신용조합,경기도,법인,38,23007200,0,0
2026-07,(주)화인알텍,기타 반도체 소자 제조업,경상북도,법인,199,73902240,0,13
2026-07,(주)에스디이엔지,기타 엔지니어링 서비스업,경기도,법인,31,14045140,0,0
2026-07,광주오케이OK정형외과의원,일반의원,전남광주통합특별시,개인,61,22641220,1,0
2026-07,익산시노인종합복지관(노인맞춤돌봄사업),해당없음,전북특별자치도,법인,48,6132340,0,0
2026-07,유한회사스태츠칩팩코리아,기타 반도체 소자 제조업,인천광역시,법인,3598,1619935440,126,70
2026-07,주식회사 경동산업 경주공장,자동차 차체용 신품 부품 제조업,경상북도,법인,34,9820120,4,4
2026-07,주식회사건명기업,강선 건조업,울산광역시,법인,93,28412300,16,4
2026-07,오븐게임즈 주식회사,응용 소프트웨어 개발 및 공급업,서울특별시,법인,116,57986380,0,0
