업종,사업장수,월회전율중앙값
그 외 기타 여신 금융업,62,0.0137
지정 외 폐기물 처리업,20,0.0137
운송장비용 조명장치 제조업,90,0.01361
접착제 및 젤라틴 제조업,156,0.01361
시내버스 운송업,285,0.01357
내연기관 제조업,32,0.01355
손해보험업,25,0.01355
골재  벽돌 및 시멘트 도매업,9,0.01351
폴리스티렌 발포 성형제품 제조업,38,0.01351
기타 종이 및 판지 제조업,13,0.01351
유인 항공기  항공 우주선 및 보조장치 제조업,10,0.01341
변리사업,65,0.01337
그 외 기타 분류 안된 운송관련 서비스업,18,0.01334
산업용 그 외 비경화 고무제품 제조업,45,0.01325
강선 건조업,34,0.01322
기타 인쇄관련 산업,20,0.01319
금속 단조제품 제조업,23,0.01316
서적외판원 학습지방문판매원 화장품외판원 정수기 자,12,0.01312
합성수지 및 기타 플라스틱 물질 제조업,168,0.01307
기타 부동산 임대업,52,0.01304
자동차 중고 부품 및 내장품 판매업,29,0.01299
복합비료 및 기타 화학비료 제조업,21,0.01282
제조 / 기타가정용기기,25,0.01282
양계업,17,0.01282
콘테이너임대,8,0.01266
기타 비철금속 제련  정련 및 합금 제조업,45,0.01266
화물 자동차 및 특수 목적용 자동차 제조업,50,0.01251
콘크리트 타일  기와  벽돌 및 블록 제조업,23,0.0125
무선 및 위성 통신업,21,0.0125
전자 감지장치 제조업,8,0.01244
화학섬유 방적업,14,0.01239
그 외 기타 전기 통신업,8,0.01237
단추 및 유사 파스너 제조업,8,0.01232
사무용 기계 및 장비 제조업,25,0.01224
여객 자동차 터미널 운영업,8,0.0122
적층  합성 및 특수 표면처리 종이 제조업,39,0.0122
합성섬유 제조업,21,0.0122
태양력 발전업,63,0.01215
제강업,38,0.01213
석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,137,0.0121
판유리 제조업,11,0.01208
기타 주변 기기 제조업,16,0.01206
톱 및 호환성 공구 제조업,51,0.0119
사료 도매업,16,0.01186
플라스틱 창호 제조업,84,0.01177
원유 정제처리업,15,0.01176
그 외 기타 스포츠 서비스업,16,0.0115
탁주 및 약주 제조업,10,0.01139
철도 차량 부품 및 관련 장치물 제조업,23,0.01111
알루미늄 압연  압출 및 연신제품 제조업,83,0.01101
신용조합,273,0.01099
합성고무 제조업,20,0.01096
부동산 감정 평가업,27,0.01095
선철 주물 주조업,28,0.01087
정형 내화 요업제품 제조업,24,0.01076
그 외 기타 1차 철강 제조업,168,0.01075
항공 여객 운송업,26,0.01065
수상 화물 취급업,38,0.01064
레미콘 제조업,39,0.01064
지상파 방송업,36,0.01042
국내은행,627,0.01042
제책업,9,0.01042
문구용 종이제품 제조업,10,0.0104
강 주물 주조업,21,0.0102
기체 연료 및 관련제품 도매업,13,0.01
타이어 및 튜브 제조업,25,0.00971
윤활유 및 그리스 제조업,15,0.00909
일반용 도료 및 관련제품 제조업,53,0.00885
생명보험업,27,0.00881
유선 방송업,36,0.00875
비주거용 건물 임대업(점포  타인땅),29,0.00752
공영 우편업,9,0.00704
연료용 가스 제조 및 배관공급업,56,0.00668
무기 및 총포탄 제조업,8,0.00667
증기  냉ㆍ온수 및 공기 조절 공급업,13,0.00595
시멘트 제조업,17,0.0051
인쇄 잉크 및 회화용 물감 제조업,12,0.00409
